,R2,RMSE,MAE,Time,Best_Params
Baseline,0.7851588187059428,29.594099106714207,18.506477268986753,0.00751495361328125,Default
Grid Search,0.7861515048817606,29.525649317880138,18.458959009595443,3.4545133113861084,{'alpha': 10.0}
Random Search,0.7861515048817606,29.525649317880138,18.458959009595443,2.394798755645752,{'alpha': 10.0}
Bayesian Optimization (Optuna),0.7860053065084326,29.5357402572293,18.46331427187678,0.4569821357727051,{'alpha': 5.61570589230072}
